DistanceKm(Km),EstimatedRange,EstimatedTotalDistance,Fefficiency,FullBatteryCapacity,PT.BattHV.Energy(kwh),Time(s),UsedCapacity(kwh)
9.0609357,3.6088208,12.669744,315,4,1.1367789,720,2.8632214
9.0720367,3.6098294,12.681854,315,4,1.1370966,721,2.8629037
9.0831375,3.6108379,12.693963,315,4,1.1374143,722,2.8625861
9.0942368,3.623349,12.717574,314,4,1.1377319,723,2.8622684
9.1053217,3.6243591,12.729669,314,4,1.1380491,724,2.8619512
9.1163876,3.6369503,12.753326,313,4,1.1383658,725,2.8616346
9.1274369,3.6379605,12.765385,313,4,1.138682,726,2.8613184
9.1384532,3.6389677,12.777409,313,4,1.1389972,727,2.8610031
9.149442,3.6516392,12.801069,312,4,1.1393118,728,2.8606886
9.1604154,3.6526461,12.81305,312,4,1.1396259,729,2.8603744
9.171437,3.6624132,12.833851,311,4,1.139007,730,2.8609895
9.1831491,3.6300061,12.813166,312,4,1.1325545,731,2.8674381
9.1960924,3.6052639,12.801369,312,4,1.1248343,732,2.8751577
9.2102381,3.5668283,12.77708,313,4,1.1164085,733,2.8835828
9.2255336,3.537747,12.763295,313,4,1.1073054,734,2.8926852
9.2419237,3.4954334,12.737372,314,4,1.097556,735,2.9024339
9.2593589,3.4624198,12.721795,314,4,1.0871891,736,2.9128002
9.277797,3.4166363,12.69445,315,4,1.0762292,737,2.9237596
9.2972003,3.3800571,12.677275,315,4,1.0647063,738,2.935282
9.3175211,3.3322918,12.649829,316,4,1.0529925,739,2.9469958
9.338697,3.2952274,12.63394,316,4,1.0412801,740,2.9587081
9.360678,3.2478867,12.608579,317,4,1.0295684,741,2.9704199
9.383429,3.2109411,12.594384,317,4,1.0178566,742,2.9821317
9.4069311,3.1640137,12.570958,318,4,1.0061446,743,2.9938436
9.4311823,3.1271822,12.558377,318,4,0.99443223,744,3.0055561
9.456191,3.0806614,12.536864,319,4,0.98271927,745,3.017269
9.4819332,3.0514765,12.533383,319,4,0.97342072,746,3.026579
9.5076824,3.0634881,12.571143,318,4,0.97418994,747,3.0258108
9.5314836,3.0753402,12.606799,317,4,0.97488348,748,3.0251172
9.5527883,3.0870109,12.639777,316,4,0.97549602,749,3.0245046
9.5715372,3.0985113,12.670029,315,4,0.97603155,750,3.0239689
9.5880807,3.1000088,12.688072,315,4,0.97650322,751,3.0234972
9.6029908,3.1112356,12.714211,314,4,0.9769284,752,3.023072
9.6167619,3.1124872,12.729235,314,4,0.97732137,753,3.022679
9.6297403,3.1236155,12.753342,313,4,0.97769203,754,3.0223083
9.6421719,3.1247508,12.766909,313,4,0.97804734,755,3.021953
9.6541865,3.1246672,12.778844,313,4,0.97802021,756,3.0219792
9.6659361,3.1310734,12.797002,312,4,0.9768935,757,3.0231051
9.6775573,3.1264516,12.804001,312,4,0.9754516,758,3.0245471
9.6890373,3.1238499,12.812878,312,4,0.97464065,759,3.0253588
9.7002968,3.1319603,12.832249,311,4,0.97403881,760,3.0259603
9.7114035,3.1281317,12.839529,311,4,0.97284752,761,3.027151
9.7224873,3.1229893,12.845471,311,4,0.97124799,762,3.0287503
9.7336256,3.1175734,12.851193,311,4,0.96956368,763,3.0304347
9.7448396,3.1127485,12.857581,311,4,0.96806347,764,3.0319352
9.756099,3.1192063,12.875297,310,4,0.96695303,765,3.033046
9.7673549,3.11677,12.884116,310,4,0.96619807,766,3.0338013
9.7785687,3.1150478,12.893607,310,4,0.96566433,767,3.0343352
9.789725,3.1134954,12.903211,310,4,0.96518309,768,3.0348164
9.8008283,3.1218092,12.922628,309,4,0.96463843,769,3.035361
9.8118973,3.1195199,12.931409,309,4,0.96393086,770,3.0360684
9.8229529,3.1168869,12.939831,309,4,0.96311732,771,3.0368819
9.8339714,3.1251542,12.959116,308,4,0.96254702,772,3.0374525
9.8448959,3.1235174,12.968404,308,4,0.96204278,773,3.0379566
9.8557381,3.1210857,12.976816,308,4,0.9612935,774,3.0387056
9.8665487,3.1178457,12.984387,308,4,0.96029538,775,3.0397035
9.8773658,3.1242803,13.001639,307,4,0.95915287,776,3.0408459
9.8882093,3.1204283,13.008631,307,4,0.95797031,777,3.0420285
9.8990854,3.116718,13.015796,307,4,0.95683133,778,3.0431676
9.9099876,3.113302,13.023282,307,4,0.9557827,779,3.0442163
9.9209018,3.120323,13.041217,306,4,0.95481791,780,3.0451812
9.9318152,3.1173403,13.049148,306,4,0.95390524,781,3.0460939
9.9427215,3.1144238,13.057137,306,4,0.95301279,782,3.0469863
9.953619,3.1115024,13.065113,306,4,0.95211884,783,3.0478803
9.9645095,3.1187288,13.08323,305,4,0.95121138,784,3.0487877
9.9753959,3.1156991,13.091087,305,4,0.95028728,785,3.0497118
9.9862811,3.1126269,13.0989,305,4,0.94935025,786,3.0506488
9.9971665,3.1095304,13.106689,305,4,0.94840584,787,3.0515932
10.008054,3.1064286,13.114474,305,4,0.94745978,788,3.0525393
10.018942,3.1135365,13.132471,304,4,0.94651416,789,3.0534849
10.029831,3.1104289,13.140252,304,4,0.94556945,790,3.0544296
10.040721,3.1073202,13.148033,304,4,0.94462441,791,3.0553746
10.05161,3.104203,13.155805,304,4,0.94367677,792,3.0563223
10.062498,3.1113039,13.173794,303,4,0.94272413,793,3.0572749
10.073386,3.1081385,13.181516,303,4,0.94176499,794,3.058234
10.084273,3.1049523,13.189217,303,4,0.94079958,795,3.0591995
10.09516,3.1017513,13.196904,303,4,0.93982968,796,3.0601693
10.106049,3.1088028,13.214844,302,4,0.93885747,797,3.0611416
10.116937,3.1055805,13.22251,302,4,0.93788435,798,3.0621147
10.127827,3.1023566,13.230175,302,4,0.93691071,799,3.0630883
10.138716,3.0991303,13.237839,302,4,0.93593637,800,3.0640627
10.149606,3.1061917,13.25579,301,4,0.93496271,801,3.0650363
10.160496,3.1029679,13.263456,301,4,0.93399236,802,3.0660067
10.171387,3.0997616,13.271141,301,4,0.93302727,803,3.0669718
10.182279,3.0965744,13.278846,301,4,0.93206795,804,3.0679311
10.193171,3.0934049,13.286568,301,4,0.93111393,805,3.0688851
10.204063,3.1005511,13.304606,300,4,0.9301644,806,3.0698347
10.214955,3.0973981,13.312345,300,4,0.92921848,807,3.0707806
10.225846,3.0942543,13.320092,300,4,0.92827534,808,3.0717237
10.236737,3.0911162,13.327845,300,4,0.92733391,809,3.0726651
10.247627,3.0983053,13.345925,299,4,0.92639233,810,3.0736067
10.258515,3.0951295,13.353637,299,4,0.92544275,811,3.0745563
10.269394,3.0918112,13.361198,299,4,0.92445055,812,3.0755484
10.280278,3.0884902,13.368761,299,4,0.92345759,813,3.0765414
10.291174,3.0840602,13.375236,299,4,0.9221306,814,3.077866
10.302532,3.0630749,13.365618,299,4,0.91585233,815,3.0841406
10.314858,3.0385347,13.353405,299,4,0.90851426,816,3.0914781
10.32812,3.0021142,13.330247,300,4,0.9006261,817,3.0993657
10.34226,2.9765316,13.318789,300,4,0.89295536,818,3.1070405
10.356536,2.9765198,13.333041,300,4,0.89295634,819,3.1070441
10.368579,2.9876661,13.356233,299,4,0.8933125,820,3.1066878
10.379031,2.9886898,13.36771,299,4,0.89361854,821,3.1063818
10.388778,2.988911,13.377682,299,4,0.89368375,822,3.1063156
10.398293,2.9793006,13.377603,299,4,0.8908051,823,3.1091891
10.408341,2.9592881,13.36764,299,4,0.88482095,824,3.1151729
10.419101,2.9378845,13.356997,299,4,0.87842088,825,3.1215725
10.43055,2.9151252,13.345687,299,4,0.87161543,826,3.1283776
10.442668,2.881411,13.324091,300,4,0.86441591,827,3.1355767
10.455433,2.8561379,13.311584,300,4,0.85683361,828,3.1431586
10.468826,2.8296256,13.298465,300,4,0.84887954,829,3.1511123
10.482828,2.7926019,13.275444,301,4,0.84056469,830,3.1594268
10.497426,2.7638073,13.261248,301,4,0.83189716,831,3.168094
10.51261,2.7248075,13.237432,302,4,0.82288267,832,3.1771081
10.528368,2.6938309,13.222215,302,4,0.81352741,833,3.1864631
10.544696,2.6529539,13.197666,303,4,0.80383516,834,3.196155
10.561588,2.6198612,13.181466,303,4,0.79380773,835,3.2061821
10.579046,2.5771563,13.15622,304,4,0.78344498,836,3.2165445
10.59707,2.541964,13.139052,304,4,0.77274619,837,3.2272429
10.615671,2.4974311,13.11312,305,4,0.76170527,838,3.2382835
10.634864,2.460081,13.094964,305,4,0.75031314,839,3.2496753
10.654667,2.4138583,13.068543,306,4,0.73862893,840,3.2613594
10.675083,2.3755912,13.050692,306,4,0.72691921,841,3.2730691
10.696107,2.3297111,13.025835,307,4,0.7152096,842,3.2847787
10.717735,2.291568,13.009319,307,4,0.70349966,843,3.2964886
10.739965,2.2461075,12.986088,308,4,0.69178939,844,3.3081989
10.76279,2.2100776,12.972874,308,4,0.68069467,845,3.3192961
10.786001,2.1888605,12.974852,308,4,0.67416489,846,3.325831
10.809225,2.1872839,12.996492,307,4,0.67149409,847,3.3285039
10.832281,2.1858371,13.018093,307,4,0.67105265,848,3.328948
10.854434,2.1950577,13.049469,306,4,0.67168826,849,3.3283123
10.873882,2.196867,13.070729,306,4,0.67224181,850,3.3277587
10.890918,2.2056598,13.09656,305,4,0.6727267,851,3.3272738
10.906686,2.2071341,13.113803,305,4,0.67317633,852,3.3268241
10.921613,2.215793,13.13739,304,4,0.67360148,853,3.3263989
10.935677,2.2171102,13.152772,304,4,0.6740019,854,3.3259985
10.948936,2.2256738,13.174596,303,4,0.67437954,855,3.3256208
10.961557,2.2268612,13.188404,303,4,0.67473931,856,3.325261
10.973753,2.2353874,13.209127,302,4,0.67508734,857,3.324913
10.985706,2.2365176,13.222211,302,4,0.67542865,858,3.3245717
10.997481,2.2376308,13.235099,302,4,0.67576483,859,3.3242355
11.008913,2.2461488,13.25505,301,4,0.67609111,860,3.3239092
11.020116,2.2472123,13.267316,301,4,0.67641121,861,3.3235891
11.031268,2.2482715,13.279528,301,4,0.67673006,862,3.3232703
11.04243,2.2568295,13.299247,300,4,0.67704918,863,3.3229511
11.053589,2.257893,13.31147,300,4,0.67736821,864,3.3226321
11.064743,2.2589559,13.323686,300,4,0.67768709,865,3.3223132
11.075889,2.2675768,13.343454,299,4,0.67800578,866,3.3219945
11.087023,2.2686414,13.355652,299,4,0.67832409,867,3.3216762
11.098139,2.2697043,13.367831,299,4,0.67864189,868,3.3213584
11.109239,2.2783858,13.387612,298,4,0.67895927,869,3.321041
11.120329,2.2794498,13.399766,298,4,0.67927636,870,3.320724
11.131404,2.2805125,13.411905,298,4,0.67959306,871,3.3204073
11.142444,2.289254,13.431686,297,4,0.67990876,872,3.3200916
11.153461,2.290315,13.443764,297,4,0.68022387,873,3.3197764
11.164469,2.2913751,13.455832,297,4,0.68053873,874,3.3194616
11.175476,2.2924352,13.467899,297,4,0.68085357,875,3.3191467
11.186483,2.3012436,13.487715,296,4,0.68116843,876,3.3188319
11.197489,2.3023039,13.499781,296,4,0.68148226,877,3.318518
11.208478,2.3031166,13.511583,296,4,0.68172267,878,3.3182775
11.219444,2.3111694,13.530602,295,4,0.68179496,879,3.318205
11.230389,2.3107443,13.541123,295,4,0.68166935,880,3.3183304
11.241322,2.3096012,13.550914,295,4,0.68133193,881,3.3186676
11.252254,2.3156646,13.56791,294,4,0.68080478,882,3.3191946
11.263193,2.3133455,13.57653,294,4,0.68012284,883,3.3198764
11.274143,2.310624,13.584759,294,4,0.67932261,884,3.3206765
11.285106,2.3076069,13.592705,294,4,0.6784355,885,3.3215636
11.296084,2.303357,13.599441,294,4,0.67718369,886,3.322813
11.307512,2.2821394,13.589663,294,4,0.67094191,887,3.329051
11.319919,2.2570467,13.576979,294,4,0.66356407,888,3.3364283
11.333307,2.2224285,13.555749,295,4,0.65560816,889,3.3443836
11.347667,2.1935136,13.541195,295,4,0.64707769,890,3.3529135
11.362996,2.1626539,13.525666,295,4,0.6379735,891,3.3620171
11.379294,2.1226518,13.501963,296,4,0.62829496,892,3.3716951
11.39657,2.0879987,13.484587,296,4,0.61803706,893,3.3819524
11.414842,2.0444441,13.459305,297,4,0.60718873,894,3.3928001
11.434135,2.0058879,13.440043,297,4,0.59573701,895,3.4042513
11.454461,1.9598582,13.414337,298,4,0.58402603,896,3.4159623
11.475789,1.920562,13.396369,298,4,0.57231577,897,3.4276725
11.498079,1.8749746,13.37307,299,4,0.5606057,898,3.4393826
11.521271,1.8358082,13.357095,299,4,0.54889495,899,3.4510933
11.545291,1.7966402,13.341946,299,4,0.53718372,900,3.4628046
11.570049,1.7516126,13.321675,300,4,0.52547207,901,3.4745162
11.595435,1.7125724,13.308021,300,4,0.51375999,902,3.4862283
11.621336,1.6735287,13.294878,300,4,0.50204689,903,3.4979414
11.647661,1.6290566,13.27673,301,4,0.49033433,904,3.509654
11.674358,1.5901403,13.26451,301,4,0.47862052,905,3.5213678
11.701415,1.5512261,13.252653,301,4,0.46690734,906,3.533081
11.728855,1.5073007,13.236167,302,4,0.45519319,907,3.5447952
11.756551,1.5002878,13.256809,301,4,0.45158742,908,3.5484134
11.782859,1.5027887,13.285622,301,4,0.4523401,909,3.5476606
11.804627,1.5098569,13.314463,300,4,0.45295761,910,3.5470429
11.822228,1.5165788,13.338789,299,4,0.45345752,911,3.5465429
11.837736,1.5180608,13.355781,299,4,0.45390061,912,3.5460998
11.85269,1.5193714,13.372046,299,4,0.45429222,913,3.545708
11.867366,1.5228482,13.390204,298,4,0.45380765,914,3.5461912
11.881938,1.5163668,13.398301,298,4,0.45187437,915,3.5481227
11.896695,1.499904,13.39661,298,4,0.44696386,916,3.5530286
11.912177,1.4645716,13.376765,299,4,0.43789743,917,3.5620931
11.928623,1.4319124,13.360552,299,4,0.42813177,918,3.5718582
11.946024,1.3988783,13.344905,299,4,0.41825806,919,3.5817354
11.96327,1.3978921,13.361146,299,4,0.41797016,920,3.5820303
11.976654,1.3991916,13.375831,299,4,0.41835865,921,3.5816417
11.989147,1.4050994,13.394233,298,4,0.41871998,922,3.5812804
12.001371,1.4055827,13.406942,298,4,0.4188634,923,3.5811363
12.013448,1.4039294,13.417367,298,4,0.41837036,924,3.581629
12.025444,1.4064601,13.431894,297,4,0.41771796,925,3.5822814
12.037373,1.4041552,13.441519,297,4,0.41703342,926,3.5829659
12.049236,1.4019099,13.451137,297,4,0.4163666,927,3.5836328
12.061029,1.3997923,13.460811,297,4,0.4157377,928,3.5842617
12.072745,1.4024446,13.47518,296,4,0.41512299,929,3.5848764
12.084384,1.4003505,13.484725,296,4,0.4145031,930,3.5854963
12.095952,1.3980601,13.494003,296,4,0.41382509,931,3.5861742
12.10746,1.3955749,13.503026,296,4,0.41308941,932,3.5869098
12.118916,1.3930784,13.511985,296,4,0.41235058,933,3.5876488
12.130296,1.3963861,13.526672,295,4,0.41193364,934,3.5880661
12.141547,1.3956083,13.537145,295,4,0.41170419,935,3.5882956
12.152667,1.3943411,13.546999,295,4,0.41133007,936,3.5886694
12.163708,1.3918334,13.555534,295,4,0.41058996,937,3.5894091
12.174733,1.3931034,13.567829,294,4,0.4095713,938,3.5904276
12.185778,1.3891766,13.574948,294,4,0.40841675,939,3.5915821
12.196859,1.3851739,13.582026,294,4,0.40723996,940,3.5927589
12.207972,1.381323,13.589288,294,4,0.40610787,941,3.593891
12.219107,1.3776774,13.596777,294,4,0.4050361,942,3.5949628
12.230257,1.3741459,13.604395,294,4,0.40399786,943,3.5960011
12.241415,1.3753547,13.616762,293,4,0.40297792,944,3.5970211
12.252576,1.3722183,13.624786,293,4,0.40205913,945,3.5979401
12.263704,1.3695602,13.633256,293,4,0.40128036,946,3.5987189
12.274784,1.366894,13.64167,293,4,0.40049917,947,3.5995
12.285834,1.3640516,13.649877,293,4,0.39966623,948,3.6003329
12.297014,1.3507242,13.64775,293,4,0.39575535,949,3.6042378
12.30905,1.3263227,13.635385,293,4,0.38860512,950,3.6113874
12.322043,1.2999911,13.622048,293,4,0.3808894,951,3.6191026
12.335946,1.2674994,13.60346,294,4,0.37263632,952,3.6273552
12.350539,1.2541,13.604623,294,4,0.36870584,953,3.6312946
12.363575,1.2596666,13.62323,293,4,0.36908265,954,3.6309177
12.373422,1.2606379,13.634051,293,4,0.36936718,955,3.6306331
12.381906,1.2614733,13.643371,293,4,0.3696119,956,3.6303883
12.389169,1.2621856,13.651347,293,4,0.36982056,957,3.6301796
12.395568,1.2667178,13.662283,292,4,0.36988095,958,3.6301184
12.401988,1.255356,13.657351,292,4,0.36655992,959,3.6334361
12.409127,1.2365991,13.645734,293,4,0.36231908,960,3.6376765
12.416992,1.220665,13.637665,293,4,0.35764998,961,3.6423451
12.425564,1.2033007,13.628874,293,4,0.35256181,962,3.6474329
12.434828,1.1845389,13.619377,293,4,0.34706421,963,3.6529301
12.444766,1.1604524,13.605229,294,4,0.34116691,964,3.658827
12.455363,1.1390678,13.594442,294,4,0.33487946,965,3.6651141
12.466603,1.1163875,13.583002,294,4,0.32821106,966,3.6717821
12.478471,1.09244,13.570924,294,4,0.32117014,967,3.6788226
12.490954,1.0636358,13.554603,295,4,0.31376496,968,3.6862275
12.50404,1.0373229,13.541376,295,4,0.30600232,969,3.6939897
12.517719,1.0098181,13.527551,295,4,0.29788806,970,3.7021037
12.531984,0.97787178,13.509869,296,4,0.28944178,971,3.71055
12.546503,0.97402466,13.520512,295,4,0.28733769,972,3.7126627
12.559712,0.97531754,13.535016,295,4,0.28771902,973,3.7122813
12.571146,0.97643475,13.547568,295,4,0.28804857,974,3.7119517
12.581965,0.97207592,13.55404,295,4,0.28675946,975,3.7132376
12.592742,0.95858487,13.551332,295,4,0.28277784,976,3.7172175
12.603804,0.94201239,13.545821,295,4,0.27788899,977,3.7221063
12.615136,0.9286046,13.54374,295,4,0.27393509,978,3.7260616
12.626523,0.91930517,13.545824,295,4,0.27119267,979,3.728805
12.637824,0.9116808,13.549501,295,4,0.26894353,980,3.7310542
12.649043,0.90325233,13.552293,295,4,0.2664568,981,3.7335406
12.660251,0.89397878,13.554228,295,4,0.26372094,982,3.7362763
12.671493,0.88446242,13.555954,295,4,0.26091362,983,3.7390836
12.682789,0.8752012,13.557988,295,4,0.2581817,984,3.7418156
12.694132,0.86949084,13.56362,294,4,0.25562786,985,3.7443697
12.705507,0.8615509,13.567054,294,4,0.25329374,986,3.746704
12.716896,0.85433395,13.571226,294,4,0.25117216,987,3.7488258
12.728286,0.84774099,13.576022,294,4,0.24923399,988,3.7507641
12.73967,0.84166667,13.581331,294,4,0.24744828,989,3.75255
12.751047,0.83603524,13.587076,294,4,0.24579277,990,3.7542056
12.762417,0.830811,13.593222,294,4,0.24425696,991,3.7557416
12.773784,0.82599122,13.599769,294,4,0.24284006,992,3.7571586
12.785151,0.82439743,13.609542,293,4,0.24154722,993,3.7584516
12.79652,0.82047916,13.616991,293,4,0.24039938,994,3.7595996
12.807871,0.81790678,13.625768,293,4,0.23964618,995,3.7603533
12.819151,0.81669021,13.635831,293,4,0.23928998,996,3.7607098
12.830341,0.81592185,13.646252,293,4,0.23906488,997,3.7609349
12.841455,0.81791535,13.65936,292,4,0.23883102,998,3.7611687
12.852523,0.81695853,13.669472,292,4,0.2385516,999,3.7614481
12.863574,0.81594702,13.679511,292,4,0.23825624,1000,3.7617435
12.874627,0.81505822,13.689675,292,4,0.23799678,1001,3.762003
12.885693,0.81727306,13.702956,291,4,0.23782635,1002,3.7621735
12.896773,0.8171167,13.713878,291,4,0.23778098,1003,3.762219
12.907862,0.81741393,13.725265,291,4,0.2378676,1004,3.7621325
12.918957,0.81814727,13.737092,291,4,0.23808113,1005,3.7619191
12.930053,0.82203541,13.752077,290,4,0.23839059,1006,3.7616097
12.941144,0.82312812,13.76426,290,4,0.23870747,1007,3.7612928
12.952213,0.82421842,13.776419,290,4,0.23902366,1008,3.7609767
12.96327,0.82530734,13.788565,290,4,0.23933944,1009,3.7606609
12.97432,0.82925507,13.803563,289,4,0.23965503,1010,3.7603453
12.985368,0.83034673,13.815703,289,4,0.23997052,1011,3.7600298
12.996417,0.83143845,13.827843,289,4,0.24028603,1012,3.7597143
13.007469,0.83253035,13.839987,289,4,0.24060159,1013,3.7593987
13.018521,0.83651682,13.855026,288,4,0.24091716,1014,3.7590832
13.029574,0.83761253,13.867174,288,4,0.24123272,1015,3.7587676
13.040626,0.83870817,13.879322,288,4,0.24154827,1016,3.758452
13.051677,0.84272989,13.894394,287,4,0.24186379,1017,3.7581365
13.062727,0.84382919,13.906544,287,4,0.24217929,1018,3.757821
13.073776,0.84492843,13.918692,287,4,0.24249477,1019,3.7575055
13.084824,0.84602758,13.930839,287,4,0.24281023,1020,3.7571901
13.095871,0.85008862,13.945947,286,4,0.24312566,1021,3.7568747
13.106916,0.85119146,13.958096,286,4,0.24344107,1022,3.7565592
13.117962,0.85229428,13.970244,286,4,0.24375648,1023,3.7562438
13.129006,0.8533971,13.982391,286,4,0.24407189,1024,3.7559284
13.14005,0.8574982,13.997536,285,4,0.2443873,1025,3.755613
13.151092,0.85860499,14.009685,285,4,0.24470274,1026,3.7552976
13.162133,0.85971162,14.021833,285,4,0.24501813,1027,3.7549822
13.173173,0.86081809,14.033979,285,4,0.24533347,1028,3.7546668
13.184212,0.86495956,14.049159,284,4,0.24564883,1029,3.7543515
13.195251,0.86606999,14.061309,284,4,0.24596419,1030,3.7540361
13.206278,0.86704588,14.073312,284,4,0.24624125,1031,3.753759
13.217279,0.87057457,14.087842,283,4,0.24637264,1032,3.7536274
13.228256,0.87032047,14.098566,283,4,0.24630051,1033,3.7536993
13.23922,0.86927108,14.108481,283,4,0.24600331,1034,3.7539963
13.250182,0.86751186,14.117685,283,4,0.24550527,1035,3.7544941
13.261152,0.86517721,14.126321,283,4,0.24484442,1036,3.7551548
13.272134,0.86546362,14.137589,282,4,0.24405991,1037,3.7559393
13.283129,0.86236076,14.145482,282,4,0.24318482,1038,3.7568143
13.294136,0.85902579,14.153155,282,4,0.24224431,1039,3.7577547
13.305154,0.85552443,14.160671,282,4,0.24125688,1040,3.7587421
13.316179,0.85190858,14.168081,282,4,0.24023719,1041,3.7597618
13.327212,0.84822533,14.17543,282,4,0.2391985,1042,3.7608005
13.338251,0.84452252,14.182766,282,4,0.23815431,1043,3.7618447
13.349296,0.84384306,14.193132,281,4,0.23711887,1044,3.7628801
13.360414,0.83367315,14.194099,281,4,0.23425541,1045,3.7657378
13.372286,0.80572943,14.178029,282,4,0.22720836,1046,3.7727843
13.385164,0.77863541,14.163814,282,4,0.21956725,1047,3.7804248
13.399055,0.74941263,14.148484,282,4,0.21132582,1048,3.7886656
13.413975,0.71549194,14.129484,283,4,0.20247506,1049,3.7975158
13.429944,0.68202227,14.111984,283,4,0.19300252,1050,3.8069877
13.446983,0.64630841,14.093311,283,4,0.18289485,1051,3.8170947
13.465112,0.60616903,14.071301,284,4,0.17214092,1052,3.827848
13.484339,0.56601378,14.050374,284,4,0.16073621,1053,3.8392521
13.504644,0.52294617,14.02761,285,4,0.14902795,1054,3.8509603
13.525952,0.48186395,14.007835,285,4,0.13731952,1055,3.8626688
13.548185,0.44078131,13.988985,285,4,0.12561097,1056,3.8743773
13.571246,0.39829859,13.969562,286,4,0.11390169,1057,3.8860866
13.595023,0.35735468,13.952394,286,4,0.10219173,1058,3.8977966
13.619396,0.31530591,13.934718,287,4,0.090481086,1059,3.9095072
13.644272,0.27450317,13.918791,287,4,0.078770697,1060,3.9212176
13.669591,0.23369734,13.903303,287,4,0.067059426,1061,3.9329289
13.69533,0.19222084,13.887565,288,4,0.055347889,1062,3.9446404
13.7215,0.15155555,13.873069,288,4,0.043636286,1063,3.956352
13.748145,0.11238825,13.860533,288,4,0.032359987,1064,3.9676322
13.774916,0.10976048,13.884647,288,4,0.031611761,1065,3.968389
13.798865,0.11247911,13.91132,287,4,0.032282102,1066,3.9677185
13.817837,0.11433833,13.932157,287,4,0.032815579,1067,3.9671849
13.833774,0.11631929,13.950077,286,4,0.033267754,1068,3.9667327
13.848857,0.11782124,13.966661,286,4,0.033697299,1069,3.9663031
13.863612,0.11758999,13.98119,286,4,0.033630025,1070,3.9663693
13.878202,0.11304428,13.99124,285,4,0.032215384,1071,3.9677824
13.892869,0.1000627,13.992936,285,4,0.028512161,1072,3.9714821
13.908097,0.070959921,13.979074,286,4,0.020285232,1073,3.9797055
13.924273,0.037425472,13.961716,286,4,0.010693808,1074,3.9892963
13.941409,0.00190036,13.943328,286,4,0.000533059,1075,3.9994565
